Page,,Amount,Taxes,Cost Total,,,Value,Cost,Paid,Remaining,Pending,Payment
4,"$4, Wastebasket / / trash can",,$1.60,$35.60,3 yf Ave.,$10.68,$24.92,,$0.00,$10.68,$0.00,
4,"85, Cotton jar - Bath",BA $22.00,$1.04,,,,$16.13,,$0.00,$691,$0.00,
4,86. Tissue holder,,$137,,,9.11,$21.26,,$0.00,$9.11,$0.00,
4,87. Bathroom tumbler,$15.00,$0.71,,,,$11.00,,$0.00,,$0.00,
4,88. Toothbrush holder 1.00,EA $15.00,$0.1,,,,$11.00,,$0.00,$471,$0.00,
4,“The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
4,* amount is part of current payment,,,,,,,,,,,
4,© indicates depreciation is,,,,,,,,,,,
4,$154K577),,,,,,,,,,,
5,,,,,,,,,— RC,,,
5,Description,Estimate,,Replacement,,Less,Actual Cash,,,Estimated,,
5,Qty,Amount,Taxes,Cost Totel_,,,Value,Cost w/Tax,Paid,Remtining Pending,Payment,
5,89. Soap dish,$19.00,$0.9,$19.90,Avg. /10y,$5.97,$13.93,,$0.00,$5.97,8.00,
5,90. Soap / lotion pump,$22.00,51.04,$3.4,Ave,$91,$16.13,,$0.00,$651,$0.00,
5,91. Candles,$20.00,$0.94,$20.94,Avg.,$28,$14.66,,$0.00,$6.28,$0.00,
5,92. Candle holder / candlestick,545.00,$2.12,447.12 3,yf Avg.,$14.14,$32.98,,$0.00,$14.14,$0.00,
5,93. Decorative figurine / Statue / 1.00 EA,$42.00,$1.98,$43.98,Syl Ave My,,$39.58,,$0.0,4.40,$0.00,
5,Sculpture,,,,,,,,,,,
5,94. Display bow!,$50.00,,$5236,=,$15.71,$36.65,,$0.00,$15.71,$0.00,
5,95. Decorative/Storage Wicker Baskel,$42.00,$1.58,43.98,Ave,$13.19,$30.79,,$0.00,$13.19,$0.00,
5,LINENS,,,,,,,,,,,
5,96. Carpet / Rug - Bathroom,$35.00,$1.65,$36.65,Ave,S110,95.65,,$0.00,,,
5,97. 1.00,EA $9.00,$0.42,99.42,Ave Sy,$5.65,$3.77,,$0.00,$5.65,$0.00,
5,98. Hand towel 1.00,EA $16.00,$0.75,$16.75,Sy,,$6.70,,$0.00,$10.05,$0.00,
5,99. Bath towel 1.00,EA $20.00,$0.94,$20.94,Avg Sy,$12.6,$8.38,,$0.0,$12.56,$0.0,
5,100. Beach towel 1.00,EA $25.00,$1.18,,Avg. Sy,$1571,$10.47,,$0.00,$15.71,$0.00,
5,101. Shower curtain 1.00,EA 42.00,$1.98,,Ave.,$13.19,$30.79,,$0.00,$13.19,$0.00,
5,102. Shower curtain Liner,$15.00,$0.71,$15.71,,$157,$14.14,,$0.00,$1.57,$0.00,
5,103. Shower curtain rings,$13.00,$0.61,$13.61,Avg. /I0y,$1.36,$12.25,,$0.00,$1.36,80.00,
5,104. Non-slip bath mat 1.00,EA 590.00,S24,$94.24,,$9.42,$84.82,,$0.00,$9.42,$0.00,
5,"HEALTH & BEAUTY, COSMETICS, ETC.",,,,,,,,,,,
5,105. Weight scale 1.00,EA $35.00,$1.65,$36.65,Avg.,$11.00,825.65,,50.00,$11.00,$0.00,
5,106. - infant 1.00,EA $24.00,,$25.13,Avg. Oy,$5.03,$20.10,,$0.00,$5.03,$0.00,
5,"Toothbrush (enter price) 1,00",EA $70.0,$3.30,$73.30,Avg. Sy,$3.67,$9.63,,$0.00,$3.67,$0.00,
5,"108, Electric toothbrush 100",EA $70.00,$3.30,$73.30,yf Avg.,$14.66,$58.64,,$0.00,$14.66,$0.00,
5,109. Toothbrush sanitizer 1.00,BA §28.00,$1.32,$29.32 OS,y/Avg./Sy,92.93,,,$0.00,$2.93,$0.00,
5,"110, Water jet dental system",$43.00,$2.03,$45.03 OS,y/ Avg. /Sy,4.50,40.53,,$0.00,$4.50,$0.00,
5,111. Prescription medications / medicine -,$10.00,$0.00,$10.00,Avg. By,0.27,,,$0.00,$0.27,80.0,
5,Entet price,,,,,,,,,,,
5,112. Non-Prescription 1.00,EA $12.99,$0.61,$13.60,y/ Avg. By,0.22,$12.88,,$0.00,90.72,$0.00,
5,medication/medicine - Enter price,,,,,,,,,,,
5,113. Non-Prescription - Enter 1.00,EA $19.99,$0.94,$20.93,Avg. By,$1.12,$19.81,,$0.00,1.12,$0.00,
5,ce,,,,,,,,,,,
5,Non-Prescription Supplements - 1.00,EA $24.99,$1.18,$26.17,y/ Avg. By,$1.39,,,$0.00,$1.39,$0.00,
5,price,,,,,,,,,,,
5,‘The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
5,* amount is part of current payment,,,,,,,,,,,
5,© indicates depreciation is non-recoverable,,,,,,,,,,,
5,5154K577],,,,,,,,,Page:6,,
6,,,,,,,,,——,——,,
6,,,,,,,,Actual,,,,
6,Description,Estimate,,Replacement,,Less,Actual Cash,Replacement,,Estimated,,
6,,Amount,Taxes,Cost Total ¢/,Cond. / Life,Depreciation,Value,Cost wiTax,Paid Remaining,Pendi,Pa at,
6,L15. Hairdryer,$30.00,$1.4],$31.41,,$12.56,$18.85,,$0.00,$12.56,$0.00,
6,"116, Heir brush / Comb 1.00",BA $15.00,$0.71,$1571,Avg. Sy,$1257,$3.14,,$0.00,$12.57,$0.00,
6,117. Hair clip / Headband 1.00,EA $10.00,$0.47,$10.47,Avg.,$2.09,$8.38,,$0.00,$2.09,$0.0,
6,Curing iron 1.00,EA $30.00,,,Ave Oy,$1.56,518.85,,$0.00,$12.56,50.00,
6,19. Hatr straightener,$38.00,$1.79,$39.79,Ave.,,$15.92,,50.00,§23.87,$0.00,
6,"120, Hair setter & rollers 1.00",EA $33.00,$1.55,$34.55,Avg. Sy,,$691,,$0.00,927.64,$0.00,
6,121. Foot massager,EA $80.00,$3.77,$83.77,Avg.,$16.25,$67.02,,$0.00,$16.75,$0.00,
6,122. Footbath & Spa 1.00,EA,$1.88,,Syf Avg.,$204,§20.94,,$0.00,$20.94,80.00,
6,"123, Handheld massager",1.00 EA 40.00,$1.88,$41.88,Ty! Ave Oy,$932,$12.56,,$0.00,929.32,$0.00,
6,"124, Massage cushion / pillow",$55.00,$2.59,$57.9,Ave,$1728,40331,,$0.0,$17.28,$0.00,
6,"125, Electric",1.00 EA 45.00,$2.12,447.12,/10y,5101,0.05,,$0.00,$7.07,,
6,126. Electric trimmers & clippers,1.00 EA $22.00,$1.04,$23.04,Avg.,92,$13.82,,$0.00,,9.0,
6,127. Perfume /Cologne,1.00 EA 540.00,$1.88,$41.88,,$20.94,$20.94,,$0.00,$20.54,9.0,
6,128. Makeup - foundation (enter price),1.00 EA $40.0,$1.88,0.5,y/,$20.94,920.94,,$0.00,920.4,$0.0,
6,129. Makeup - blush (enter price),$25.00,$1.18,$26.18 0.5,yi,$13.09,$13.09,,$0.00,$13.09,$0.00,
6,"130, Makeup - eye shawdow (enter price)",$15.00,$0.71,$15.71 0.5,yl,,$785,,$0.00,$7.36,$0.00,
6,131. Makeup - eye liner (enter price),1.00 EA $12.00,$0.57,$12.57 05,yl Avg./ly,629,$6.28,,$0.00,$6.29,$0.00,
6,132. Makeup - lipstick (enter price),"1,00 BA $12.0",$0.57,$12.57 0.5,,,$6.28,,$0.00,,80.00,
6,133. Makeup - bronzer (enter price),1.00 EA 524.00,$1.13,$25.13 0.5,yl Ave. /ly,$12.57,$12.56,,$0.00,$12.57,$0.00,
6,"134, Makeup - skincare, facecream,",1.00 EA $20.00,$0.94,$20.94,OS,$1047,$10.4?,,$0.00,$10.47,$0.00,
6,"facewash, lotions (enter price)",,,,,,,,,,,
6,Makeup - facemask (enter price},1.00 BA 8.00,$0.38,$8.38 0.5,yl,4.19,$4.19,,$0.00,S419,$0.00,
6,"136, Makeup - hair products (enter price}",$20.00,$0.94,$20.94 0.5,yl,$10.47,$10.47,,$0.00,$10.47,80.00,
6,137. Cosmetic bag / vanity toiletry case,45.00,$2.12,47.12,Avg.,,42.41,,$0.00,M471,$0.00,
6,138. Blood pressure monitor / meter,100EA $34.00,$1.60,$35.60,Ave,510.68,$24.92,,$0.00,$10.68,$0.00,
6,139. Blood glucose meter / monitor,LOOEA $22.00,,$23.4,"Syf Ave,",,,,$0.00,$11.52,$0.00,
6,140. Supporter / brace,100EA,$1.18,$26.18,Ave. Oy,$7.85,$18.33,,$0.00,$7.85,$0.00,
6,141. Body temperature thermometer,L00EA,$0.99,,Avg. /I0y,$6.60,$1539,,$0.00,$6.60,$0.00,
6,"142, First aid kit",,$1.32,$29.32,Sy/ Avg.,514.66,$14.66,,$0.00,$14.6,$0.00,
6,143. Pill organizer / bolder,$10.0,80.47,$10.47,Ave. /I0y,4.19,$6.28,,$0.00,$4.19,,
6,The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
6,* amount is part of current payment,,,,,,,,,,,
6,© indicates depreciation is non-recoverable,,,,,,,,,,,
7,,,,,,,,,RCBenefis* ——,,,
7,,,,,,,Actual,,,,,
7,,Estimate,Replacement,,Less,Actual Cash,,,Estimated,,,
7,Qty,Amount,Taxes Cost,,Depreciation,Value,Cost wiTax,Paid,Remaining Pending,Payntent,,
7,"144, Prescription glasses (Frames only)",$80.00,$3.77 $83.77,Avg.,$16.75,$67.02,,$0.00,$16.75,$0.00,,
7,145. Reading glasses,$17.00,$0.80 $17.80,5y/ Avg. /I0y,$3.00,$8.90,,$0.00,$8.90,9.0,,
7,146. Eyeglass carrying case,$8.00,$0.38 $8.38,Sy! Ave.,4.19,$4.19,,$0.00,$4.19,$0.0,,
7,"147, Non-perishable paper / plastic 1.00",EA $100.0,Il $104.71,OS Avg. Ay,$0.0,$104.71,,$0.00,$0.00,$.00,,
7,products - Enter price,,,,,,,,,,,
7,CLEANING SUPPLIES,,,,,,,,,,,
7,148. - Toilet,$14.00,$0.66 $14.66,Avg.,$4.40,$10.26,,$0.00,$4.40,$0.00,,
7,149. Toilet brush,$24.00,$1.13 $25.13,Avg.,$7.14,$17.59,,$0.00,$7.54,$0.00,,
7,"150, Cleaning bucket 1.00",EA $40.00,$1.88 $41.88,Avg.,$12.5,929.32,,$0.00,$12.56,$0.00,,
7,151. Mop,$20.00,$0.94 $20.94,Ave.,$6.28,$14.66,,$0.00,$6.28,$0.00,,
7,152. Squeegee,$16.00,$0.75 $1675,,$5.03,$11.22,,$0.00,$5.03,$0.00,,
7,153. Dustpan,$14.00,$0.66 $14.66,Avg.,440,$10.26,,$0.00,$4.40,$0.00,,
7,Non-perishable unopened cleaning,540.00,$1.88,Avg,$20.94,$20.4,,$0.00,$20.94,$0.00,,
7,supplies - Enter price,,,,,,,,,,,
7,Subtotals,"$3,285.97",$154.36,,$939.30,,$0.00,$0.00,$939.30,$0.00,,
7,Main Level - Medical,,,,,,,,,,,
7,FURNITURE,,,,,,,,,,,
7,"COVERAGE B - PERSONAL PROPERTY - FIRE, LIGHTNING, &",REMOVAL,,,,,,,,,,
7,155. Bath & shower seat / transfer bench 2.00,EA 5164.00,$1.3,3 yf Avg.,$51.52,,,$0.00,$5152,$0.00,,
7,"156, Toilet seat - Safety",2.00EA,,,$75.38,$17591,,$0.00,$75.38,$0.00,,
7,MOBILITY,,,,,,,,,,,
7,157. Wheelchair - Manual,$226.49,$10.67 $237.16,dyl Ave,47.43,$189.73,,$0.00,4743,90.0,,
7,"158, Walker - Mobility assistance",$905.,42.69 $948.65.,6.5 y/ Above Avg. /10,$369.97,$578.68,,$0.00,$369.97,$0.00,,
7,,,,y,,,,,,,,
7,Photos provided of multi walker.,,,,,,,,,,,
7,"159, Walking cane 3,00",BA $96.00,$100.52,,$65.4,935.18,,$0.00,$6534,$0.00,,
7,160. Roller Walker / Rollator / Knee 1.00,EA $284.00,$13.38 $297.38,0.25 Above Avg.,,$292.92,,$0.00,,$0.00,,
7,Cruiser,,,Moy,,,,,,,,
7,"BRACES, FIRST AID, ETC.",,,,,,,,,,,
7,161. Blood gtucase meter/ monitor 2.00,EA,$10.81 $240.31,0.5 y/ Above,$7.1,$233.10,,$0.00,$7.21,,,
7,,,,y,,,,,,,,
7,162. Blood pressure monitor / meter 2.00,EA $00,$83.77,2 yl Ave,$16.75,$7.02,,$0.00,$16.25,$0.00,,
7,163. Body temperature thermometer 1.00,EA $75.0,$3.53 $78.53,Ave.,$15.71,2.82,,$0.00,$15.71,$0.00,,
7,* The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
7,* amount is part of current payment,,,,,,,,,,,
7,> indicates depreciation is non-recoverable,,,,,,,,,,,
7,5154K577),,,,,,,,Page:8,,,
8,,,,,,,,,,,,
8,,,,,,,,,,,,juswAed jo
8,,,,,,,,,,,st pred,
8,,,,,,,,,,,,
8,0S,(LIS,W005,98555,,Bay,,6675,,,,
8,,,W0s,,,Agu day,,,,,,
8,WO,,,,,Kou,LEERS,,,,01,
8,wes,,anes,,788,,,,,,,
8,wos,30915,Os,,,Bay,,,,,,
8,,,,,dL,,,1 |,,,,
8,wos,0%,,,,Koy Say,,,,,¥I007,ny
8,000s,,000s,,,,,OS,,=,,
8,,,,961618,LIS,,,,,,000!,
8,wes,ores,,,,,,618,,,,re
8,,,wos,86765,,,,,,,,
8,,,,,,,,6855,,,,
8,,,,,,,,668,,,,
8,,,,,,,,Isls,wees,,,ase
8,,,,,,,= grees,ores,,,,
8,wos,wes,,,,,,v's,,,,
8,000s,,ous,98975,,,,,,,,
8,,,,,,,,0918,,,,
8,wos,,,6S,(8295,,,,,,,
8,wes,9618,wes,,"9618""",,,6L'IS,,,,
8,,,,,,,,,,,,ut yo
8,,,,,,,,,,,,-
8,,,,,,,,198,96,,,
8,wes,,,,,,,,,,vil,
8,,,,,199],,,,,,,
8,,,——,,,,,,,,,
9,,,,,,,,Actual,,,,
9,Description,Estimate,,,,Less,,,,Estimated,,
9,,Amount,Taxes,Cost Total,Li,,Value,Cost w/Tax,Paid,Remaini,,
9,Subtetals,"$10,331.34",$456.16,,,"$3,349.67","$7,437.83",$0.00,$0.00,"$3,349.67",$0.00,
9,Main Level - Living Room,,,,,,,,,,,
9,FURNITURE,,,,,,,,,,,
9,"COVERAGE PERSONAL PROPERTY - 4 FIRE, LIGHTNING, &",REMOVAL,,,,,,,,,,
9,187. Sofa - Sectional 1.00,EA $900.00,,,Avg. NOy,$153.93,$188.48,,$0.00,$753.93,$0.00,
9,188. Sofa / Couch 1.00,EA $399.00,,S136,Avg.,,4470.68,,$0.00,$470.68,$0.00,
9,189. Chair / ottoman set,EA,$21.20,,Avg,$376.%,$94.24,,$0.00,$376.96,$0.00,
9,"190. Chair - Office 1,00",BA $330.00,$15.55,,Syl Avg,$12.8,$172.77,,$0.00,$172.28,$0.0,
9,Orig. Desc. - Chair,,,,,,,,,,,
9,I91. Chair Massage 1.00,EA $500.00,93.56,$523.56,Avg,$314.14,$209.42,,$0.00,$314.14,$0.0,
9,Dese. - Chair - Recliner - Leather,,,,,,,,,,,
9,192. Bench,$200.00,$9.42,,Avg.,$167.54,$4188,,90.0,$167.54,$0.00,
9,193. Dog Kennel,$139.99,$6.60,$146.59,Avg. 20y,$14.6,$131.93,,$0.00,$14.6,$0.0,
9,Orig. Desc. - Portable fireplace,,,,,,,,,,,
9,194. Entertainment center - High grade,,,,,,NEED MORE,,$0.00,$0.00,$0.0,
9,,,,,,,INF,,,,,
9,Orig. Desc. - Entertainment Center,,,,,,,,,,,
9,ELECTRONICS,,,,,,,,,,,
9,195. 4 Independent Channel 1.00,EA $39.99,$1.88,$41.87,Ave.,$20.94,920.93,,,920.94,0.0,
9,"TENS EMS Unit, 24 Level",,,,,,,,,,,
9,Intensity Muscle Stimulator Machi,,,,,,,,,,,
9,Amazon on Amazon.com - 10/9/2023,,,,,,,,,,,
9,"Orig. Desc, - Tens Pro EMS",,,,,,,,,,,
9,196. Dorjoy leeman,$338.00,$1593,$353.93 ly! Above,Avg.,52124,$332.69,,$0.00,9124,$0.00,
9,Orig. Desc. - Digital media streaming device |,,,,,,,,,,,
9,(97. REVO the Original Smart 200EA,,$1357,,My,$9047,,,$0.00,$90.47,$0.00,
9,Cupping Therapy Massager with Red,,,,,,,,,,,
9,Light Therapy for Targeted Pai,,,,,,,,,,,
9,Amazon on Amazon.com - 10/9/2023,,,,,,,,,,,
9,Orig. Dese. - Cupping Kit,,,,,,,,,,,
9,"198. RENPHO Massage Gun with Heat,",$99.99,,$104.70,Avg.,,$73.29,,$0.00,,,
9,Percussion Muscle Mini Massage Gun,,,,,,,,,,,
9,"for Athletes, Handheld Deep Ti",,,,,,,,,,,
9,Amazon on Amazon.com - 10/9/2023,,,,,,,,,,,
9,* The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
9,* amount is part of current payment,,,,,,,,,,,
9,© indicates depreciation is non-recoverable,,,,,,,,,,,
9,5154K577),,,,,,,,,,,
10,,,,,,,RC,—,,,,
10,,,,,,Actual,,,,,,
10,Description Estimate,Replacement,,Less,Actual Cash,Replacement,,,,,,
10,Amount,Taxes,,,Value,Cost w/Tax,Paid,Remaining Pending,Payment,,,
10,Orig. Desc. - Massage gun,,,,,,,,,,,
10,199. Apple MacBook Air MJVM2LL/A,,,,DOCUMENTATI,,$0.00,$0.00,$0.0,,,
10,Laptop (1.6 GHz Intel Core,,,,ON,,,,,,,
10,"15, 128 GB Hard Drive, Integra",,,,,,,,,,,
10,Amazon on Amazon.com - 10/9/2023,,,,,,,,,,,
10,Orig. Dese. - Laptop/Notebook computer - Less than [5 inch,,,,,,,,,,,
10,200. Laptop/Notebook computer - Apple,,|,,DOCUMENTATI,,50.00,$0.00,$0.0,,,
10,Desk Top,,,,ON,,,,,,,
10,Orig. Desc. - Laptop/Notebook computer - Less than 15 inch - High grade,,,,,,,,,,,
10,201. Blu-ray player 1.00 EA,$92.14,,$27.65,,,$0.00,$27.65,$0.00,,,
10,202. Window air conditioner/heater 2.00 EA H08.0,$19.22 M2722,,5170.89,,,50.00,$170.89,$0.0,,,
10,203. Portable Air conditioner 2.00 EA $598.00,928.18 $626.18,0.25 y Avg.,515.65,$10.53,,$0.00,$15.65,$1.0,,,
10,Desc. - Air purifier / Air cleaner,,,,,,,,,,,
10,MULTIMEDIA,,,,,,,,,,,
10,204. Video game - System / Console -,21.16 $410.16,Avg. Sy,594.03,$376.13,,$0.00,$94.03,50.00,,,
10,Xbox One §,,,,,,,,,,,
10,DECORATIVE ITEMS/ACCENTS,,,,,,,,,,,
10,205. Large Hawaiian [pa Heke Drum 1.00 EA $722.50,$34.04 $756.54,5 Above Avg.,$113.49,$643.05,,$0.00,$113.49,$0.0,,,
10,"Instruments, Natural Ipu Heke Rhythm",,,,,,,,,,,
10,Hawaiian Percussi,,,,,,,,,,,
10,Amazon on Amazon.com -,,,,,,,,,,,
10,Orig. Desc. - Display bowl,,,,,,,,,,,
10,206. Floor lamp / torchiere 1.00 EA 40.00,$1.88,7 yf Above Avg. /I0y,$17.9,,,$0.00,$17.59,$0.00,,,
10,207. Tiki Statve 400.00,$18.85,yl Avg. /I0y,,83.77,,$0.00,$335.08,$0.0,,,
10,Orig. Desc. - Table lamp,,,,,,,,,,,
10,Subtotals $6890.46,$324.67 $7218.13,,$3209.13,$4006.00,$0.00,$0.00,$3209.13,$0.00,,,
10,Main Level - Kitchen,,,,,,,,,,,
10,APPLIANCES,,,,,,,,,,,
10,"COVERAGE B - PERSONAL PROPERTY - 34 FIRE, LIGHTNING, & REMOVAL",,,,,,,,,,,
10,208. - Enter price,,,,,,,,$0.00,,,
10,209. Electric ranges / Ovens - Enter price,,,,,,9000,$333.47,$0.00,,,
10,210. Microwave - Countertop,$130,,,48.69,,,,$0.00,,,
10,SMALL APPLIANCES,,,,,,,,,,,
10,* The amount of RC Benefits remaining and/or paid is subject to policy limitations.,,,,,,,,,,,
