Page,,Amount,Taxes,Cost Total,,,Value,Cost,Paid,Remaining,Pending,Payment
3,51. Dress suit / Tuxedo - Men's,,$315.00,$14.84,$329.84,Avg. By,$263.87,$5.97,,$0.00,$263.87,$0.00
3,52. Vest - Men's,,$60.00,$2.83,$62.83,lO y Avg. By,$50.26,$12.57,,$0.00,$50.26,$0.00
3,MENS ACCESSORIES,,,,,,,,,,,
3,53. The / Necktie - Men's,,$25.00,$1.18,$26.18,Avg. By,$20.4,$5.24,,$0.00,$20.4,$0.00
3,5A. Belt - Men's,,$25.00,,$26.18,By,93.28,922.90,,$0.00,$3.28,$0.00
3,55. Gloves or mittens - Men's,,$28.0,$132,$29.32,By,$3.4,$5.86,,$0.00,,$0.00
3,"56. Scarf, shawl & wrap",,$19.00,$0.90,$19.90,,,$3.98,,$0.00,$15.92,$0.00
3,"57. Cap, hal & visor",,$20.00,$0.54,$20.94,Avg. By,$2.62,$18.32,,$0.00,$2.62,$0.00
3,58. Sunglasses,EA,546.00,92.17,¥48.17,Syl Avg By,$18.06,$30.11,,$0.00,$18.06,9.00
3,,,,,|,,,,,,,
3,59. Wallet,,$30.0,StAl,,,$1.85,93.56,,$0.00,$7.85,9.0
3,60. Pack - Backpack / Daypack,,$50.00,$236,$52.36 O67,y/ Avg.,$1.16,$50.60,,$0.00,$1.76,$0.00
3,61. Messenger bag,,$62.00,$2.92,$492,20y,$2.18,$62.74,,$0.00,92.18,$0.00
3,62. Bag / Case - Computer / Laptop,,$73.00,$3.44,$76.4,20y,,$64.97,,$0.00,,$0.00
3,"63, Lugeape - Garment bags",,$73.00,$3.44,$76.44 4,yf Avg.,$15.29,$61.15,,$0.00,$15.29,
3,64. -,[OO EA,$60.00,$2.83,$62.83,Syl Ave. 20y,,$53.41,,$0.00,§9.42,$0.00
3,bag,,,,,,,,,,,
3,MEN'S SHOES,,,,,,,,,,,
3,65. Shoes - Boots,1.00 EA,$110.00,$5.18,$115.18,By,$16.28,$38.40,,$0.00,$16.28,$0.00
3,66. Shoes - Men's - Casual,,$55.00,$2.59,$57.59,By,$19.19,$38.40,,$0.00,$19.19,$0.00
3,67. Shoes - Men's - Dress,,$79.00,93.22,$82.72,Ave. By,$55.15,97.57,,$0.00,$55.15,$0.00
3,‘The amount of RC Benefits remaining and/or,paid is subject to policy,limitations.,,,,,,,,,
3,* amount is part of payment,,,,,,,,,,,
3,© indicates depreciation is non-recoverable,,,,,,,,,,,
3,5154K577),,,,,,,,,,,
4,,,,,,,,,RC,Benefits’,,
4,,,,,,,,Actual,,,,
4,Deseription,Estimate,,Replacement,,Less,,Replacement,,Estimated,,
4,,Amount,Taxes,Cost Total,e/Cond./Life,Depreciation,Value,Cost wiTax,Paid,Remaining Pending,Paymect,
4,68. Shoes - Mec's - Outdoor,$95.00,,$9948 O67,Ave By,$22,$77.26,,$0.00,9222,$0.00,
4,69. Shoes - Men's - Sandals 1.00,EA,$1.98,$43.8,LS yf Ave. By,$21.9,91.99,,$0.00,$21.9,$0.0,
4,70. Shoes - Men's - Sneakers / Tennis,$110.00,$5.18,$115.18,Avg By,$92.14,93.04,,$0.00,$92.14,$0.00,
4,Subtotals,,,,,"$4,450.95","$5,726.02",$0.00,$0.00,"4,450.95",$0.00,
4,Main Level - Bathroom,,,,,,,,,,,
4,Contents paid under companion elaim,,,,,,,,,,,
4,FURNITURE,,,,,,,,,,,
4,"COVERAGE B - PERSONAL PROPERTY - 4 FIRE, LIGHTNING, &",REMOVAL,,,,,,,,,,
4,71. Bathroom spacesaver,,$539,,,$19.63,$111.26,,$0.00,$19.63,$0.00,
4,"72, Towel",$53.00,$2.50,$55.50,,516.65,$38.85,,$0.00,$16.65,$0.00,
4,"73, Storage / Linen tower",LEA,12,,,,$2403,,$0.00,$42.41,$0.00,
4,74. Towel warmer,,$759,,,$50.58,$11801,,$0.00,$50.58,$0.00,
4,sta! 1.00,EA $40.00,,,Oy,$6.28,$35.60,,$0.00,$6.28,$0.00,
4,"76, Window valance 1.00",EA $22.00,$104,,,,$16.13,,$0.00,$691,$0.00,
4,WALL ARTIDECOR,,,,,,,,,,,
4,"77, Wall decor",EA $45.00,92.12,,,$14.14,$32.98,,$0.00,$14.14,$0.00,
4,"78, Framed artwork / print 1.00",EA $53.00,$2.50,$5550,,$16.65,$38.85,,$0.00,$16.65,$0.00,
4,"79, Wall mirror",,,,Avg. My,527.64,,,$0.00,927.64,$0.00,
4,"80. shelf 1,00",EA $47.00,9221,,,514.16,$34.45,,$0.00,$14.16,$0.00,
4,,|,,,,,,,,,,
4,DECORATIVE ITENS/ACCENTS,,,,,,,,,,,
4,81. - Laundry,$50.00,$2.36,,Oy,$15.71,$36.65,,$0.00,$15.71,$0.00,
4,82. Toilet paper holder - Portable,$42.00,$198,$4398,Oy,$13.19,$0.79,,$0.00,$13.19,90.00,
4,"83, Shower caddy",,$1.51,$3351,,$10.05,$23.46,,$0.00,$10.05,$0.00,
4,"$4, Wastebasket / / trash can",,$1.60,$35.60,3 yf Ave.,$10.68,$24.92,,$0.00,$10.68,$0.00,
4,"85, Cotton jar - Bath",BA $22.00,$1.04,,,,$16.13,,$0.00,$691,$0.00,
4,86. Tissue holder,,$137,,,9.11,$21.26,,$0.00,$9.11,$0.00,
4,87. Bathroom tumbler,$15.00,$0.71,,,,$11.00,,$0.00,,$0.00,
4,88. Toothbrush holder 1.00,EA $15.00,$0.1,,,,$11.00,,$0.00,$471,$0.00,
4,“The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
4,* amount is part of current payment,,,,,,,,,,,
4,© indicates depreciation is,,,,,,,,,,,
4,$154K577),,,,,,,,,,,
5,,,,,,,,,— RC,,,
5,Description,Estimate,,Replacement,,Less,Actual Cash,,,Estimated,,
5,Qty,Amount,Taxes,Cost Totel_,,,Value,Cost w/Tax,Paid,Remtining Pending,Payment,
5,89. Soap dish,$19.00,$0.9,$19.90,Avg. /10y,$5.97,$13.93,,$0.00,$5.97,8.00,
5,90. Soap / lotion pump,$22.00,51.04,$3.4,Ave,$91,$16.13,,$0.00,$651,$0.00,
5,91. Candles,$20.00,$0.94,$20.94,Avg.,$28,$14.66,,$0.00,$6.28,$0.00,
5,92. Candle holder / candlestick,545.00,$2.12,447.12 3,yf Avg.,$14.14,$32.98,,$0.00,$14.14,$0.00,
5,93. Decorative figurine / Statue / 1.00 EA,$42.00,$1.98,$43.98,Syl Ave My,,$39.58,,$0.0,4.40,$0.00,
5,Sculpture,,,,,,,,,,,
5,94. Display bow!,$50.00,,$5236,=,$15.71,$36.65,,$0.00,$15.71,$0.00,
5,95. Decorative/Storage Wicker Baskel,$42.00,$1.58,43.98,Ave,$13.19,$30.79,,$0.00,$13.19,$0.00,
5,LINENS,,,,,,,,,,,
5,96. Carpet / Rug - Bathroom,$35.00,$1.65,$36.65,Ave,S110,95.65,,$0.00,,,
5,97. 1.00,EA $9.00,$0.42,99.42,Ave Sy,$5.65,$3.77,,$0.00,$5.65,$0.00,
5,98. Hand towel 1.00,EA $16.00,$0.75,$16.75,Sy,,$6.70,,$0.00,$10.05,$0.00,
5,99. Bath towel 1.00,EA $20.00,$0.94,$20.94,Avg Sy,$12.6,$8.38,,$0.0,$12.56,$0.0,
5,100. Beach towel 1.00,EA $25.00,$1.18,,Avg. Sy,$1571,$10.47,,$0.00,$15.71,$0.00,
5,101. Shower curtain 1.00,EA 42.00,$1.98,,Ave.,$13.19,$30.79,,$0.00,$13.19,$0.00,
5,102. Shower curtain Liner,$15.00,$0.71,$15.71,,$157,$14.14,,$0.00,$1.57,$0.00,
5,103. Shower curtain rings,$13.00,$0.61,$13.61,Avg. /I0y,$1.36,$12.25,,$0.00,$1.36,80.00,
5,104. Non-slip bath mat 1.00,EA 590.00,S24,$94.24,,$9.42,$84.82,,$0.00,$9.42,$0.00,
5,"HEALTH & BEAUTY, COSMETICS, ETC.",,,,,,,,,,,
5,105. Weight scale 1.00,EA $35.00,$1.65,$36.65,Avg.,$11.00,825.65,,50.00,$11.00,$0.00,
5,106. - infant 1.00,EA $24.00,,$25.13,Avg. Oy,$5.03,$20.10,,$0.00,$5.03,$0.00,
5,"Toothbrush (enter price) 1,00",EA $70.0,$3.30,$73.30,Avg. Sy,$3.67,$9.63,,$0.00,$3.67,$0.00,
5,"108, Electric toothbrush 100",EA $70.00,$3.30,$73.30,yf Avg.,$14.66,$58.64,,$0.00,$14.66,$0.00,
5,109. Toothbrush sanitizer 1.00,BA §28.00,$1.32,$29.32 OS,y/Avg./Sy,92.93,,,$0.00,$2.93,$0.00,
5,"110, Water jet dental system",$43.00,$2.03,$45.03 OS,y/ Avg. /Sy,4.50,40.53,,$0.00,$4.50,$0.00,
5,111. Prescription medications / medicine -,$10.00,$0.00,$10.00,Avg. By,0.27,,,$0.00,$0.27,80.0,
5,Entet price,,,,,,,,,,,
5,112. Non-Prescription 1.00,EA $12.99,$0.61,$13.60,y/ Avg. By,0.22,$12.88,,$0.00,90.72,$0.00,
5,medication/medicine - Enter price,,,,,,,,,,,
5,113. Non-Prescription - Enter 1.00,EA $19.99,$0.94,$20.93,Avg. By,$1.12,$19.81,,$0.00,1.12,$0.00,
5,ce,,,,,,,,,,,
5,Non-Prescription Supplements - 1.00,EA $24.99,$1.18,$26.17,y/ Avg. By,$1.39,,,$0.00,$1.39,$0.00,
5,price,,,,,,,,,,,
5,‘The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
5,* amount is part of current payment,,,,,,,,,,,
5,© indicates depreciation is non-recoverable,,,,,,,,,,,
5,5154K577],,,,,,,,,Page:6,,
6,,,,,,,,,——,——,,
6,,,,,,,,Actual,,,,
6,Description,Estimate,,Replacement,,Less,Actual Cash,Replacement,,Estimated,,
6,,Amount,Taxes,Cost Total ¢/,Cond. / Life,Depreciation,Value,Cost wiTax,Paid Remaining,Pendi,Pa at,
6,L15. Hairdryer,$30.00,$1.4],$31.41,,$12.56,$18.85,,$0.00,$12.56,$0.00,
6,"116, Heir brush / Comb 1.00",BA $15.00,$0.71,$1571,Avg. Sy,$1257,$3.14,,$0.00,$12.57,$0.00,
6,117. Hair clip / Headband 1.00,EA $10.00,$0.47,$10.47,Avg.,$2.09,$8.38,,$0.00,$2.09,$0.0,
6,Curing iron 1.00,EA $30.00,,,Ave Oy,$1.56,518.85,,$0.00,$12.56,50.00,
6,19. Hatr straightener,$38.00,$1.79,$39.79,Ave.,,$15.92,,50.00,§23.87,$0.00,
6,"120, Hair setter & rollers 1.00",EA $33.00,$1.55,$34.55,Avg. Sy,,$691,,$0.00,927.64,$0.00,
6,121. Foot massager,EA $80.00,$3.77,$83.77,Avg.,$16.25,$67.02,,$0.00,$16.75,$0.00,
6,122. Footbath & Spa 1.00,EA,$1.88,,Syf Avg.,$204,§20.94,,$0.00,$20.94,80.00,
6,"123, Handheld massager",1.00 EA 40.00,$1.88,$41.88,Ty! Ave Oy,$932,$12.56,,$0.00,929.32,$0.00,
6,"124, Massage cushion / pillow",$55.00,$2.59,$57.9,Ave,$1728,40331,,$0.0,$17.28,$0.00,
6,"125, Electric",1.00 EA 45.00,$2.12,447.12,/10y,5101,0.05,,$0.00,$7.07,,
6,126. Electric trimmers & clippers,1.00 EA $22.00,$1.04,$23.04,Avg.,92,$13.82,,$0.00,,9.0,
6,127. Perfume /Cologne,1.00 EA 540.00,$1.88,$41.88,,$20.94,$20.94,,$0.00,$20.54,9.0,
6,128. Makeup - foundation (enter price),1.00 EA $40.0,$1.88,0.5,y/,$20.94,920.94,,$0.00,920.4,$0.0,
6,129. Makeup - blush (enter price),$25.00,$1.18,$26.18 0.5,yi,$13.09,$13.09,,$0.00,$13.09,$0.00,
6,"130, Makeup - eye shawdow (enter price)",$15.00,$0.71,$15.71 0.5,yl,,$785,,$0.00,$7.36,$0.00,
6,131. Makeup - eye liner (enter price),1.00 EA $12.00,$0.57,$12.57 05,yl Avg./ly,629,$6.28,,$0.00,$6.29,$0.00,
6,132. Makeup - lipstick (enter price),"1,00 BA $12.0",$0.57,$12.57 0.5,,,$6.28,,$0.00,,80.00,
6,133. Makeup - bronzer (enter price),1.00 EA 524.00,$1.13,$25.13 0.5,yl Ave. /ly,$12.57,$12.56,,$0.00,$12.57,$0.00,
6,"134, Makeup - skincare, facecream,",1.00 EA $20.00,$0.94,$20.94,OS,$1047,$10.4?,,$0.00,$10.47,$0.00,
6,"facewash, lotions (enter price)",,,,,,,,,,,
6,Makeup - facemask (enter price},1.00 BA 8.00,$0.38,$8.38 0.5,yl,4.19,$4.19,,$0.00,S419,$0.00,
6,"136, Makeup - hair products (enter price}",$20.00,$0.94,$20.94 0.5,yl,$10.47,$10.47,,$0.00,$10.47,80.00,
6,137. Cosmetic bag / vanity toiletry case,45.00,$2.12,47.12,Avg.,,42.41,,$0.00,M471,$0.00,
6,138. Blood pressure monitor / meter,100EA $34.00,$1.60,$35.60,Ave,510.68,$24.92,,$0.00,$10.68,$0.00,
6,139. Blood glucose meter / monitor,LOOEA $22.00,,$23.4,"Syf Ave,",,,,$0.00,$11.52,$0.00,
6,140. Supporter / brace,100EA,$1.18,$26.18,Ave. Oy,$7.85,$18.33,,$0.00,$7.85,$0.00,
6,141. Body temperature thermometer,L00EA,$0.99,,Avg. /I0y,$6.60,$1539,,$0.00,$6.60,$0.00,
6,"142, First aid kit",,$1.32,$29.32,Sy/ Avg.,514.66,$14.66,,$0.00,$14.6,$0.00,
6,143. Pill organizer / bolder,$10.0,80.47,$10.47,Ave. /I0y,4.19,$6.28,,$0.00,$4.19,,
6,The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
6,* amount is part of current payment,,,,,,,,,,,
6,© indicates depreciation is non-recoverable,,,,,,,,,,,
7,,,,,,,,,RCBenefis* ——,,,
7,,,,,,,Actual,,,,,
7,,Estimate,Replacement,,Less,Actual Cash,,,Estimated,,,
7,Qty,Amount,Taxes Cost,,Depreciation,Value,Cost wiTax,Paid,Remaining Pending,Payntent,,
7,"144, Prescription glasses (Frames only)",$80.00,$3.77 $83.77,Avg.,$16.75,$67.02,,$0.00,$16.75,$0.00,,
7,145. Reading glasses,$17.00,$0.80 $17.80,5y/ Avg. /I0y,$3.00,$8.90,,$0.00,$8.90,9.0,,
7,146. Eyeglass carrying case,$8.00,$0.38 $8.38,Sy! Ave.,4.19,$4.19,,$0.00,$4.19,$0.0,,
7,"147, Non-perishable paper / plastic 1.00",EA $100.0,Il $104.71,OS Avg. Ay,$0.0,$104.71,,$0.00,$0.00,$.00,,
7,products - Enter price,,,,,,,,,,,
7,CLEANING SUPPLIES,,,,,,,,,,,
7,148. - Toilet,$14.00,$0.66 $14.66,Avg.,$4.40,$10.26,,$0.00,$4.40,$0.00,,
7,149. Toilet brush,$24.00,$1.13 $25.13,Avg.,$7.14,$17.59,,$0.00,$7.54,$0.00,,
7,"150, Cleaning bucket 1.00",EA $40.00,$1.88 $41.88,Avg.,$12.5,929.32,,$0.00,$12.56,$0.00,,
7,151. Mop,$20.00,$0.94 $20.94,Ave.,$6.28,$14.66,,$0.00,$6.28,$0.00,,
7,152. Squeegee,$16.00,$0.75 $1675,,$5.03,$11.22,,$0.00,$5.03,$0.00,,
7,153. Dustpan,$14.00,$0.66 $14.66,Avg.,440,$10.26,,$0.00,$4.40,$0.00,,
7,Non-perishable unopened cleaning,540.00,$1.88,Avg,$20.94,$20.4,,$0.00,$20.94,$0.00,,
7,supplies - Enter price,,,,,,,,,,,
7,Subtotals,"$3,285.97",$154.36,,$939.30,,$0.00,$0.00,$939.30,$0.00,,
7,Main Level - Medical,,,,,,,,,,,
7,FURNITURE,,,,,,,,,,,
7,"COVERAGE B - PERSONAL PROPERTY - FIRE, LIGHTNING, &",REMOVAL,,,,,,,,,,
7,155. Bath & shower seat / transfer bench 2.00,EA 5164.00,$1.3,3 yf Avg.,$51.52,,,$0.00,$5152,$0.00,,
7,"156, Toilet seat - Safety",2.00EA,,,$75.38,$17591,,$0.00,$75.38,$0.00,,
7,MOBILITY,,,,,,,,,,,
7,157. Wheelchair - Manual,$226.49,$10.67 $237.16,dyl Ave,47.43,$189.73,,$0.00,4743,90.0,,
7,"158, Walker - Mobility assistance",$905.,42.69 $948.65.,6.5 y/ Above Avg. /10,$369.97,$578.68,,$0.00,$369.97,$0.00,,
7,,,,y,,,,,,,,
7,Photos provided of multi walker.,,,,,,,,,,,
7,"159, Walking cane 3,00",BA $96.00,$100.52,,$65.4,935.18,,$0.00,$6534,$0.00,,
7,160. Roller Walker / Rollator / Knee 1.00,EA $284.00,$13.38 $297.38,0.25 Above Avg.,,$292.92,,$0.00,,$0.00,,
7,Cruiser,,,Moy,,,,,,,,
7,"BRACES, FIRST AID, ETC.",,,,,,,,,,,
7,161. Blood gtucase meter/ monitor 2.00,EA,$10.81 $240.31,0.5 y/ Above,$7.1,$233.10,,$0.00,$7.21,,,
7,,,,y,,,,,,,,
7,162. Blood pressure monitor / meter 2.00,EA $00,$83.77,2 yl Ave,$16.75,$7.02,,$0.00,$16.25,$0.00,,
7,163. Body temperature thermometer 1.00,EA $75.0,$3.53 $78.53,Ave.,$15.71,2.82,,$0.00,$15.71,$0.00,,
7,* The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
7,* amount is part of current payment,,,,,,,,,,,
7,> indicates depreciation is non-recoverable,,,,,,,,,,,
7,5154K577),,,,,,,,Page:8,,,
8,,,,,,,—,"——,",,,,
8,Description Estimate,Replacement,,Less,Actual Cash,,,,,,,
8,Amount,Taxes Cost Total,¢/Cond./Life,,Value,Cost wiTax,Paid Remaining,Pending,Payment,,,
8,164. First aid kit 1.00 EA $35.99,$1.20 $37.69,3 yf Avg.,,$26.38,,$0.00,$1131,$0.00,,,
8,165. Handheld urinal 4.00 EA $143.96,$6.78 $150.74,3 yf Avg.,$45.2,$105.52,,$0.00,45.22,$0.00,,,
8,"Hearing aids - Single LOOEA $4,989.60",$235.11,,,"$3,134.83",,$0.00,"$2,089.88",$0.00,,,
8,NI provided proof of purchase invoice in doc dated 08/06/2024,,,,,,,,,,,
8,167. Heating pad $37.98,$1.79 $39.77,Ave.,$7.%,$318],,$0.00,$7.96,$0.0,,,
8,168. Nebutizer kit 2.00 EA 200.0,§9.42 $209.42,Ave.,$62.33,$146.59,,$0.00,$62.83,$0.00,,,
8,169. Pill organizer / holder 2.00 EA $4.0,$1.60 $35.60,,$12.46,923.14,,$0.00,$12.46,$0.00,,,
8,170. Prescription glasses (Frames only) $320.00,$15.08 $335.08,2yl Ave,$67.02,$268.06,,$0.00,$67.02,$0.00,,,
8,171. Reading glasses 2.00 EA $34.0,$1.60 $35.60,Ave. /I0y,$7.12,$28.48,,$0.00,$7.12,$0.00,,,
8,"172. Reusable cloth masks, - Qty. 1-5 5.00 EA $70.0",$3.30 $7330,yt Ave.,$733,$65.97,,$0.00,$733,90.0,,,
8,"173, Eyeglass carrying case 400 EA $32.00",$151 S351,,$11.73,21.78,,$0.00,S173,$0.00,,,
8,"174, Stethoscope $105.97",$4.99 $130.96,Ave,$33.29,$77.67,,$0.00,$33.29,$0.00,,,
8,"175, Supporter / brace $125.00",$5.89,Oy,$45.81,$85.08,,$0.00,458],$0.00,,,
8,176. Weight scale $35.0,$1.65 $36.65,I,,$32.98,,$0.00,$3.67,$0.0,,,
8,177. Weight scale - Body fal monitor 1.00 EA $42.00,$1.98 $43.98,Avg,40,$39.58,,$0.00,44.40,9.0,,,
8,(78. Non-prescription 10.00 EA 200.0,$9.42 $200.42,0.25 By,$17.46,$191.96,,$0.00,$1746,$0.00,,,
8,- Enter,,,,,,,,,,,
8,price,,,,,,,,,,,
